FileName	avg_note_duration(ms)	avg_notes_freq_modulation(Hz)	avg_notes_lower_freq(Hz)	avg_notes_upper_freq(Hz)	avg_silence_duration(ms)	avg_syllable_duration(ms)	avg_sylls_freq_modulation(Hz)	avg_sylls_lower_freq(Hz)	avg_sylls_upper_freq(Hz)	bout_duration(ms)	largest_note_duration(ms)	largest_notes_freq_modulation(Hz)	largest_silence_duration(ms)	largest_syllable_duration(ms)	largest_sylls_freq_modulation(Hz)	max_notes_freq(Hz)	max_sylls_freq(Hz)	mean_syllable_stereotypy	min_notes_freq(Hz)	min_sylls_freq(Hz)	note_size_threshold	num_notes	num_notes_per_syll	num_syllable_per_bout_duration(1/ms)	num_syllables	num_syllables_per_num_unique	num_unique_syllables	overall_notes_freq_range(Hz)	overall_sylls_freq_range(Hz)	sequential_repetition	smallest_note_duration(ms)	smallest_notes_freq_modulation(Hz)	smallest_silence_duration(ms)	smallest_syllable_duration(ms)	smallest_sylls_freq_modulation(Hz)	std_note_duration(ms)	std_notes_freq_modulation(Hz)	std_silence_duration(ms)	std_syllable_duration(ms)	std_syllable_stereotypy	std_sylls_freq_modulation(Hz)	syll_correlation_threshold	syllable_pattern	syllable_stereotypy
SegSyllsOutput_106500_44k_b2of3.gzip	20.530391018195896	2099.326059050064	4147.2828412494655	6203.6264441591775	26.21452621452621	50.364145658263304	4011.274509803922	3423.4262125902983	7391.718266253871	2577.460317460317	50.476190476190474	4384.210526315789	39.047619047619044	53.01587301587301	5071.929824561404	8080.701754385965	8080.701754385965	58.553705243039495	2793.859649122807	2793.859649122807	60	82	2.411764705882353	0.013191279714250525	34	17.0	2	5329.824561403509	5329.824561403509	0.8484848484848485	2.8571428571428568	257.89473684210526	22.857142857142854	46.34920634920635	3309.6491228070176	13.062110355197945	1210.2833117582477	3.7141079042963	1.6052517567088251	8.39470083570434	592.5403576884574	50	[0, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	[ 52.61775536  64.48965513]
SegSyllsOutput_141599_44k_b2of6.gzip	21.90911067623396	2803.8692621965874	3668.228791155973	6429.115597212208	22.126984126984123	54.480286738351246	3928.0418788907746	3154.357668364459	7039.417091114883	2352.6984126984125	39.682539682539684	4470.175438596491	24.444444444444443	57.460317460317455	4513.157894736842	7521.929824561404	7521.929824561404	82.290179788855	2793.859649122807	2793.859649122807	60	73	2.3548387096774195	0.013176359465659156	31	31.0	1	4771.0526315789475	4771.0526315789475	1.0	2.5396825396825395	515.7894736842105	19.047619047619047	39.682539682539684	3610.5263157894738	13.110967321241679	1118.5197356954673	1.0215699591982017	2.9990367360957344		201.81241014981578	50	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[ 82.29017979]
SegSyllsOutput_15421_44k_b7of11.gzip	30.77853363567649	3557.3099415204683	4225.584795321637	7739.912280701754	27.14285714285714	33.01587301587302	3825.438596491229	4091.0481331533965	7873.504273504273	2319.047619047619	36.82539682539682	4169.298245614035	31.11111111111111	36.82539682539682	4255.263157894737	8252.631578947368	8252.631578947368	79.27143640076967	3911.40350877193	3911.40350877193	60	42	1.0769230769230769	0.016817248459958935	39	19.5	2	4384.210526315789	4384.210526315789	0.7105263157894737	3.1746031746031744	343.859649122807	22.857142857142854	27.936507936507937	2793.859649122807	7.561387307141638	907.3274418192848	1.9440394783993478	1.967768824786939	3.9880397717810117	263.85840896743986	50	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]	[ 76.45146643  82.09140637]
SegSyllsOutput_164429_44k_b4of5.gzip	22.452380952380953	2713.2675438596484	3641.688596491229	6311.973684210528	20.885547201336667	47.23646723646722	3753.801169590643	3067.1839856050383	6778.00269905533	2635.873015873016	49.52380952380952	5329.824561403509	25.71428571428571	59.36507936507936	5329.824561403509	8209.649122807017	8209.649122807017	71.89776477327484	2922.8070175438597	2922.8070175438597	60	80	2.051282051282051	0.014795856919185836	39	19.5	2	5329.824561403509	5329.824561403509	0.9736842105263158	2.2222222222222223	257.89473684210526	13.968253968253968	26.984126984126984	2535.964912280702	13.305267686354718	1111.7400734867192	2.683769687202696	4.745826092100927		564.7723373706726	50	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[ 71.89776477]
SegSyllsOutput_167877_44k_b5of5.gzip	31.4373897707231	3482.772904483431	3684.551656920078	7124.3421052631575	31.645781119465326	56.04761904761905	4829.078947368422	3034.561403508773	7820.657894736842	1722.2222222222222	58.095238095238095	4985.964912280701	35.87301587301587	59.36507936507936	5028.9473684210525	7994.736842105263	7994.736842105263	81.45114116088669	3008.7719298245615	3008.7719298245615	60	36	1.8	0.011612903225806452	20	10.0	2	5028.9473684210525	5028.9473684210525	0.9473684210526315	2.8571428571428568	558.7719298245614	29.206349206349206	49.84126984126984	4212.2807017543855	11.258366260144527	869.2655358993969	1.4929736860520646	1.823597965848938		178.73728796990218	50	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[ 81.45114116]
SegSyllsOutput_172206_44k_b4of8.gzip	16.09868043602983	1297.7594588881846	5048.108222363136	6302.88522511097	16.38287638287638	43.41736694677871	3342.518059855521	3873.477812177503	7173.013415892672	2016.8253968253966	36.82539682539682	2364.035087719298	22.22222222222222	48.25396825396825	3739.4736842105262	7521.929824561404	7521.929824561404	68.78930864004533	3653.5087719298244	3653.5087719298244	60	83	2.4411764705882355	0.016858177239099638	34	34.0	1	3911.40350877193	3911.40350877193	1.0	2.5396825396825395	257.89473684210526	10.158730158730158	39.36507936507936	3051.754385964912	7.969352112245781	611.7600168086055	2.183534252379361	2.053007475801953		187.82140288013318	50	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[ 68.78930864]
SegSyllsOutput_176207_44k_b1of4.gzip	17.588031381134826	2262.754587618471	5148.50776366203	7368.27989514015	21.549508692365833	39.33554817275747	3940.3916768665854	3874.4186046511636	7771.827825377396	2596.5079365079364	29.84126984126984	3610.5263157894738	25.07936507936508	53.01587301587301	4341.228070175439	8123.684210526316	8123.684210526316	77.47123966111786	3610.5263157894738	3610.5263157894738	60	87	2.0232558139534884	0.016560704242572444	43	43.0	1	4556.140350877193	4556.140350877193	1.0	3.8095238095238093	300.8771929824561	19.047619047619047	36.507936507936506	3696.4912280701756	2.4116197828446593	935.3115721452396	1.6461448897168125	2.501425720701013		177.64784350472544	50	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[ 77.47123966]
SegSyllsOutput_176247_44k_b3of8.gzip	28.366013071895424	3393.0856553147573	4302.03818369453	7652.141382868936	46.76870748299319	33.63984674329502	3955.868118572292	3757.259528130671	7670.145190562613	2285.079365079365	36.19047619047619	4728.070175438596	53.01587301587301	53.01587301587301	4942.982456140351	8252.631578947368	8252.631578947368	84.09890488694626	3352.6315789473683	3352.6315789473683	60	34	1.1724137931034482	0.012691025284801335	29	29.0	1	4942.982456140351	4942.982456140351	1.0	3.8095238095238093	257.89473684210526	35.87301587301587	30.158730158730158	3739.4736842105262	9.898631060022828	1308.2210787497331	3.2821905365705	4.8208616044464945		301.4211658526193	50	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[ 84.09890489]
SegSyllsOutput_176252_44k_b2of10.gzip	22.397959183673468	2835.3070175438593	5332.127192982457	8124.451754385966	32.56235827664399	45.46250684181719	4985.964912280701	3388.2032667876597	8331.18572292801	2230.15873015873	48.57142857142857	5329.824561403509	42.53968253968254	48.57142857142857	5329.824561403509	8424.561403508771	8424.561403508771	85.07154049952842	3094.7368421052633	3094.7368421052633	60	56	1.9310344827586208	0.01300355871886121	29	29.0	1	5372.80701754386	5372.80701754386	1.0	5.396825396825396	300.8771929824561	27.936507936507937	43.17460317460317	4857.017543859649	13.096630423910723	1918.612545492964	2.3077980973443943	1.158308593971646		117.71230402523304	50	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[ 85.0715405]
SegSyllsOutput_177868_44k_b6of6.gzip	17.418683320322668	2381.650848432557	4184.800115041702	6523.468507333908	21.842650103519667	22.16143194866599	3239.231056364315	3540.10824934677	6736.356849570736	2046.3492063492063	29.523809523809522	3524.561403508772	25.71428571428571	29.523809523809522	4255.263157894737	7521.929824561404	7607.894736842105	71.81320044645838	3180.7017543859647	3180.7017543859647	60	61	1.297872340425532	0.022967731926776296	47	47.0	1	4384.210526315789	4470.175438596491	1.0	2.2222222222222223	300.8771929824561	18.41269841269841	16.825396825396826	2578.9473684210525	7.793737089326242	1080.3164457879739	1.6551557686627645	2.079239480001647		462.711813291581	50	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[ 71.81320045]
SegSyllsOutput_179993_44k_b1of23.gzip	22.203269367448467	2983.110761979576	3913.969625556429	6854.097931395652	25.863095238095234	50.12025012025012	3947.8734715576816	3033.5194045720355	6938.410419989368	2481.587301587301	35.238095238095234	4212.2807017543855	31.746031746031743	53.650793650793645	4212.2807017543855	7135.087719298245	7135.087719298245	81.74320666695681	2793.859649122807	2793.859649122807	60	67	2.0303030303030303	0.013297940386337472	33	33.0	1	4384.210526315789	4384.210526315789	1.0	4.1269841269841265	687.719298245614	23.174603174603174	39.36507936507936	3438.59649122807	10.53228537236806	908.660610522915	1.7028775457707597	2.3271129370539425		129.0016277831935	50	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[ 81.74320667]
